titulo,tipo,ano,capa,sinopse,categoria
Código: Vingança,Filme,2026.0,https://image.tmdb.org/t/p/w500/gVZgjKIsXZOT3cNZm5PJZBtQRaG.jpg,"Após testemunhar o assassinato de seu chefe bilionário e ser injustamente incriminado pelo crime, Cole Reed embarca em um navio cargueiro em uma cruzada solitária para vingar a morte do chefe. No entanto, à medida que avança em sua missão, ele descobre que está no centro de uma perigosa conspiração internacional.",Terror
Atraídos Pelo Destino,Filme,2026.0,https://image.tmdb.org/t/p/w500/99OB0p7ah8wyTphLHrghSJXtmr5.jpg,"Marfil, filha de um empresário espanhol, vê sua vida em Nova York virar de cabeça para baixo quando é sequestrada e libertada sem nenhuma explicação. O pai dela contrata Sebastián Moore para ser seu guarda-costas e, forçados a passar cada minuto do dia juntos, uma atração inevitável surge entre eles em um mundo onde nada é o que parece. Baseado no livro de Mercedes Ron, autora da saga ""Culpados"".",Ação
Made in Korea,Série,2025.0,https://image.tmdb.org/t/p/w500/uJwXkGYsHoDcgjuXrq08Udne3yR.jpg,"Na Coreia do Sul da década de 1970, um homem que busca o auge da riqueza e do poder vive uma vida dupla: agente da KCIA de dia e perigoso homem de negócios à noite. Determinado e imbatível, ele acaba se deparando com um promotor perspicaz que está disposto a arriscar tudo para derrubá-lo.",Ação
Magnatas do Crime,Série,2024.0,https://image.tmdb.org/t/p/w500/3psm58xrwPAkb7NO8nmprBESB1X.jpg,"O aristocrata Eddie herdou a propriedade da família, só para descobrir que há um império da maconha rolando lá nas terras. E os donos não vão arredar pé.",Ação
Corrida Contra o Tempo,Filme,2026.0,https://image.tmdb.org/t/p/w500/zPlBUyu9rWhVrdiRfSClwMkmQiT.jpg,"Maia Marten é uma advogada brilhante de Londres, vê a sua vida ruir com uma ligação durante sua corrida matinal que avisa que seu filho foi sequestrado. Para recuperá-lo, ela deve continuar correndo, obedecer a cada comando e não confiar em ninguém. Cada segundo desta corrida testará até onde vai uma mãe para salvar a vida do seu filho.",Ação
A Garota do Remo,Série,2026.0,https://image.tmdb.org/t/p/w500/or4ITDqz0dnd3sN9nIwuUprsRhC.jpg,"Depois de um escândalo familiar, a remadora Teagan Tao muda de cidade e entra na equipe de remo masculina de uma escola de elite, despertando rivalidades e paixões.",Blockbusters & Fura-Bolha
As Amigas do Clube,Série,2026.0,https://image.tmdb.org/t/p/w500/9QuG4F8ONb5yXUACA0x4HmTPsUK.jpg,Matthijs van de Sande Bakhuyzen e Edwin Jonker estrelam esta série dramática sobre um grupo que entra em conflito quando um deles morre.,Blockbusters & Fura-Bolha
Três Horas Para Viver,Filme,2026.0,https://image.tmdb.org/t/p/w500/3eW4KN7LJlMfKgW2wG5xOnijejf.jpg,Um transportador de elite embarca em uma missão urgente: entregar um órgão vital para salvar a vida de uma garotinha de sete anos. O que parecia ser uma tarefa objetiva logo se transforma em uma corrida frenética contra o tempo quando uma perigosa organização criminosa entra em cena para impedir o sucesso da entrega.,Ação
One Piece,Série,1999.0,https://image.tmdb.org/t/p/w500/9ltisibeD4gzqjM1AzmQwCdyirQ.jpg,"Houve um homem que conquistou tudo aquilo que o mundo tinha a oferecer, o lendário Rei dos Piratas, Gold Roger. Capturado e condenado à execução pelo Governo Mundial, suas últimas palavras lançaram legiões aos mares. ""Meu tesouro? Se quiserem, podem pegá-lo. Procurem-no! Ele contém tudo que este mundo pode oferecer!"". Foi a revelação do maior tesouro, o One Piece, cobiçado por homens de todo o mundo, sonhando com fama e riqueza imensuráveis... Assim começou a Grande Era dos Piratas!",Aventura e Fantasia
Fauda,Série,2015.0,https://image.tmdb.org/t/p/w500/lin4raUi5VEISfo8v0NC8csoVs1.jpg,"Fauda (palavra árabe para “Caos”) acompanha um grupo de agentes israelenses que trabalham disfarçados na Palestina a fim de encontrar um terrorista do Hamas, ao mesmo tempo em que mostra a trágica vida de uma família palestina que leva a um crescente ódio por Israel.",Terror
Hope: O Primeiro Impacto,Filme,2026.0,https://image.tmdb.org/t/p/w500/yDiw6WUpAdlidbQDtI09rWVvGtu.jpg,"A polícia investiga a presença de uma criatura misteriosa que vem causando tumulto na remota vila de Hope Harbor. Ao seguir os rastros do animal, um grupo de caçadores acaba se tornando sua presa involuntária, dando início a um conflito que se transforma em uma tragédia de proporções cósmicas.",Blockbusters & Fura-Bolha
Futurama,Série,1999.0,https://image.tmdb.org/t/p/w500/vC4gvBWA7hAvUl5ITh2tx8OhmB4.jpg,"Fry era um simples entregador de pizza cuja vida parecia não ter nenhum propósito. Após ser congelado acidentalmente na véspera do Ano-Novo de 1999, ele desperta mil anos no futuro e ganha a chance de recomeçar em um mundo repleto de alienígenas e robôs.",Ficção Científica
Dix pour cent: O Filme,Filme,2026.0,https://image.tmdb.org/t/p/w500/41Yezvy8Kxr9bcwQsPR3teq4EvX.jpg,"Diante de uma série de contratempos em seu primeiro filme, Andréa pede ajuda à antiga equipe da agência ASK. Mas a turma acaba piorando ainda mais a situação.",Ação
Matéria Escura,Série,2024.0,https://image.tmdb.org/t/p/w500/mAbuZuS4CqlTI6lvWIxPRHppbVs.jpg,"Jason Dessen é sequestrado para uma versão alternativa de sua vida. Em busca de voltar para sua verdadeira família, ele embarca em uma jornada angustiante para salvá-los do inimigo mais terrível que se possa imaginar: ele mesmo.",Aventura e Fantasia
